UACE Code,UZA Name,State,Primary UZA, Population ,Density, Square Miles ,State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,UZA Reporting Method,FG/NFG Reporting Method,Other FG/NFG Reporting Method Description,Total Actual Vehicle Revenue Hours,Total Unlinked Passenger Trips,Total Actual Vehicle Revenue Miles,Total Passenger Miles Traveled, Total Operating Expenses ,Non0Fixed Guideway Vehicle Revenue Miles,Non0Fixed Guideway Passenger Miles, Non0Fixed Guideway Operating Expenses , Directional Route Miles ,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles, Fixed Guideway Operating Expenses , SGR FG Directional Route Miles ,SGR FG Vehicle Revenue Miles, SGR HIB Directional Route Miles ,SGR HIB Vehicle Revenue Miles
51283,"Longview, WA00OR",Washington,Y,69841,1984.59,35.19,,16,City of Longview,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,199,310,6700,3720,45846,6700,3720,45846,0,0,0,0,0,0,0,0
51283,"Longview, WA00OR",Washington,Y,69841,1984.59,35.19,,16,City of Longview,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,14802,32057,129018,103015,1594683,129018,103015,1594683,0,0,0,0,0,0,0,0
51283,"Longview, WA00OR",Washington,Y,69841,1984.59,35.19,,16,City of Longview,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,28056,242437,357130,933382,4236468,357130,933382,4236468,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,Y,1895776,0,0,,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO, Actual Data,,,629,2888,21517,0,249036,21517,0,249036,0,0,0,0,0,0,0,0
55333,"Marysville, WA",Washington,N,160440,2366.41,67.8,,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO, Actual Vehicle Revenue Miles,,,343,1571,11710,0,135531,11710,0,135531,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO, Actual Data,,,,,0,0,0,,,,,,,,,,,
44479,"Kennewick00Richland00Pasco, WA",Washington,Y,255401,2276,112.21,,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,101933,234982,1704662,1870067,13679233,1704662,1870067,13679233,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT, Other,,,,,0,0,0,,,,,,,,,,,
44479,"Kennewick00Richland00Pasco, WA",Washington,Y,255401,2276,112.21,,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT, Actual Data,,,58310,189542,1151046,664586,4134143,1151046,664586,4134143,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,,0,0,0,,,,,,,,,,,
44479,"Kennewick00Richland00Pasco, WA",Washington,Y,255401,2276,112.21,,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,220095,2447715,3513119,11225436,27434086,3513119,11225436,27434086,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,,0,0,0,,,,,,,,,,,
44479,"Kennewick00Richland00Pasco, WA",Washington,Y,255401,2276,112.21,,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,40936,306138,1828042,10565293,1962788,1828042,10565293,1962788,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,N,3544011,3607.07,982.52,,19,Intercity Transit,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,10481,113439,244994,1961796,2337751,244994,1961796,2337751,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,19,Intercity Transit,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65242,"Olympia00Lacey, WA",Washington,Y,208157,1959.95,106.21,,19,Intercity Transit,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,N,3544011,3607.07,982.52,,19,Intercity Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,19,Intercity Transit,Full Reporter,Urban,DR,DO, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65242,"Olympia00Lacey, WA",Washington,Y,208157,1959.95,106.21,,19,Intercity Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,82759,137303,851048,750278,18109913,851048,750278,18109913,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,N,3544011,3607.07,982.52,,19,Intercity Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,19,Intercity Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65242,"Olympia00Lacey, WA",Washington,Y,208157,1959.95,106.21,,19,Intercity Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,206698,3449951,2868976,13766600,42160796,2868976,13766600,42160796,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,N,3544011,3607.07,982.52,,19,Intercity Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,35061,99151,1302487,4024715,1507446,1302487,4024715,1507446,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,19,Intercity Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65242,"Olympia00Lacey, WA",Washington,Y,208157,1959.95,106.21,,19,Intercity Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,35061,99151,1302489,4024721,1507449,1302489,4024721,1507449,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,N,3544011,3607.07,982.52,,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
