Mode,UACE Code,UZA Name,State, Population ,Density, Square Miles ,State NTD ID,Agency Name,Reporting Module
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Educational Center for Independence,Rural
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,City of Guntersville,Rural
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,St. Clair County Commission,Rural
VP,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Alabama Tombigbee Regional Planning Commission,Rural
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,City of Eufaula,Rural
FB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Chilton County Commission,Rural
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Birmingham Regional Paratransit Consortium,Rural
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Lawrence County Aging0Rural Transit System ,Rural
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Covington County,Rural
CB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Pike Area Transit System,Rural
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Walker County Commission,Rural
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Jackson County,Rural
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Area Referral & Information Services for the Elderly,Rural
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,,Poarch Band of Creek Indians,Tribe
CB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,West Alabama Rural Public Transportation,Rural
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Macon County Commission,Rural
RB,2,Alaska Non0UZA,Alaska,359299,0,0,,Municipality of Anchorage,Urban
DR,2,Alaska Non0UZA,Alaska,359299,0,0,,Municipality of Anchorage,Urban
DR,2,Alaska Non0UZA,Alaska,359299,0,0,,Municipality of Anchorage,Urban
VP,2,Alaska Non0UZA,Alaska,359299,0,0,,Sitka Tribe of Alaska,Tribe
MB,2,Alaska Non0UZA,Alaska,359299,0,0,,Chickaloon Native Village,Tribe
MB,2,Alaska Non0UZA,Alaska,359299,0,0,,Alaska Railroad Corporation,Urban
DR,2,Alaska Non0UZA,Alaska,359299,0,0,,Fairbanks North Star Borough ,Urban
DR,2,Alaska Non0UZA,Alaska,359299,0,0,,Fairbanks North Star Borough ,Urban
MB,2,Alaska Non0UZA,Alaska,359299,0,0,,Gulkana Village Council,Tribe
RB,2,Alaska Non0UZA,Alaska,359299,0,0,,Gulkana Village Council,Tribe
VP,2,Alaska Non0UZA,Alaska,359299,0,0,,Asa'carsarmiut Tribe,Tribe
VP,2,Alaska Non0UZA,Alaska,359299,0,0,,Seldovia Village Tribe,Tribe
DR,2,Alaska Non0UZA,Alaska,359299,0,0,,Ketchikan Indian Community,Tribe
DR,2,Alaska Non0UZA,Alaska,359299,0,0,,Hydaburg Cooperative Association,Tribe
MB,2,Alaska Non0UZA,Alaska,359299,0,0,,Valley Transit,Urban
MB,2,Alaska Non0UZA,Alaska,359299,0,0,,Valley Transit,Urban
RB,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,"Senior Citizens of Kodiak, Inc.",Rural
DR,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,Glacier Valley Transit,Rural
DR,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,"Catholic Community Service, Sitka",Rural
DR,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,Ketchikan Gateway Borough,Rural
LR,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,Ketchikan Gateway Borough,Rural
MB,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,"Central Area Rural Transit System, Inc.",Rural
YR,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,"Central Area Rural Transit System, Inc.",Rural
MB,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,Inter0Island Ferry Authority,Rural
LR,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,City of Bethel,Rural
DR,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,City and Borough of Juneau,Rural
YR,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,City and Borough of Juneau,Rural
DR,2,Alaska Non0UZA,Alaska,359299,0,0,0R04,Sunshine Transit ,Rural
DR,2,Alaska Non0UZA,Alaska,359299,0,0,,Gwichyaa Zhee Tribal Transit Service,Tribe
MB,2,Alaska Non0UZA,Alaska,359299,0,0,,Ninilchik Village,Tribe
CB,2,Alaska Non0UZA,Alaska,359299,0,0,,Kenaitze Indian Tribe,Tribe
DR,2,Alaska Non0UZA,Alaska,359299,0,0,,Native Village of Unalakleet,Tribe
MB,2,Alaska Non0UZA,Alaska,359299,0,0,,Craig Tribal Association,Tribe
DR,2,Alaska Non0UZA,Alaska,359299,0,0,,Noorvik Native Community,Tribe
DR,2,Alaska Non0UZA,Alaska,359299,0,0,,Petersburg Indian Association,Tribe
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,Navajo Nation,Tribe
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,Regional Public Transportation Authority,Urban
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,,Regional Public Transportation Authority,Urban
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,Regional Public Transportation Authority,Urban
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,,Regional Public Transportation Authority,Urban
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,Northern Arizona Intergovernmental Public Transportation Authority,Urban
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,Northern Arizona Intergovernmental Public Transportation Authority,Urban
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,,Northern Arizona Intergovernmental Public Transportation Authority,Urban
VP,4,Arizona Non0UZA,Arizona,1296856,0,0,,Pima Association of Governments,Urban
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,,California Vanpool Authority,Urban
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,Yuma County Intergovernmental Public Transportation Authority,Urban
VP,4,Arizona Non0UZA,Arizona,1296856,0,0,,Yuma County Intergovernmental Public Transportation Authority,Urban
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,,Yuma County Intergovernmental Public Transportation Authority,Urban
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,City of Sierra Vista,Urban
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,,City of Sierra Vista,Urban
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Show Low,Rural
CB,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Cottonwood,Rural
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Cottonwood,Rural
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,"Helping Hands Agency, Inc.",Rural
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Douglas,Rural
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Douglas,Rural
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,Town of Miami ,Rural
VP,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,Town of Miami ,Rural
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Kingman,Rural
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Coolidge,Rural
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Coolidge,Rural
VP,4,Arizona Non0UZA,Arizona,1296856,0,0,,City of Maricopa,Urban
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,,City of Maricopa,Urban
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Benson,Rural
VP,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Benson,Rural
CB,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Bisbee,Rural
CB,4,Arizona Non0UZA,Arizona,1296856,0,0,,Regional Transportation Authority of Pima County,Urban
VP,4,Arizona Non0UZA,Arizona,1296856,0,0,,Regional Transportation Authority of Pima County,Urban
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,San Carlos Apache Tribe,Tribe
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,,Havasupai Tribe,Tribe
CB,4,Arizona Non0UZA,Arizona,1296856,0,0,,Yavapai0Apache Nation,Tribe
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,Yavapai0Apache Nation,Tribe
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,,White Mountain Apache Tribe,Tribe
VP,4,Arizona Non0UZA,Arizona,1296856,0,0,,Kaibab Band of Paiute Indians,Tribe
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,,Salt River Pima0Maricopa Indian Community,Tribe
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,Hopi Tribe,Tribe
FB,4,Arizona Non0UZA,Arizona,1296856,0,0,,Hopi Tribe,Tribe
VP,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,Yavapai Regional Transit,Rural
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,,Hualapai Indian Tribe,Tribe
FB,4,Arizona Non0UZA,Arizona,1296856,0,0,,Hualapai Indian Tribe,Tribe
VP,4,Arizona Non0UZA,Arizona,1296856,0,0,,Gila River Indian Community,Tribe
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,Town of Quartzsite,Rural
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,Payson Senior Center,Rural
MB,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,City of Winslow,Rural
DR,4,Arizona Non0UZA,Arizona,1296856,0,0,9R01,Town of Payson,Rural
DR,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,,City of Pine Bluff,Urban
FB,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,,City of Pine Bluff,Urban
MB,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,,Ozark Regional Transit,Urban
VP,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,,Ozark Regional Transit,Urban
MB,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,,Texarkana Urban Transit District,Urban
DR,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,,Texarkana Urban Transit District,Urban
VP,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,6R01,"Mid0Delta Transit Community Services, Inc.",Rural
DR,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,6R01,"Area Agency on Aging of Southeast Arkansas, Inc.",Rural
MB,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,6R01,City of Eureka Springs,Rural
VP,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,6R01,City of Eureka Springs,Rural
DR,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,6R01,"NW Arkansas Economical Development District, Inc.",Rural
MB,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,6R01,"Crowley's Ridge Development Council, Inc.",Rural
MB,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,,Central Arkansas Development Council,Urban
DR,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,6R01,Black River Area Development Corporation,Rural
MG,5,Arkansas Non0UZA,Arkansas ,1787552,0,0,6R01,"Area Agency on Aging of Western Arkansas, Inc.",Rural
DR,6,California Non0UZA,California,4357850,0,0,,San Francisco Bay Area Rapid Transit District,Urban
MB,6,California Non0UZA,California,4357850,0,0,,San Francisco Bay Area Rapid Transit District,Urban
VP,6,California Non0UZA,California,4357850,0,0,,San Francisco Bay Area Rapid Transit District,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Golden Empire Transit District,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Golden Empire Transit District,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Santa Cruz Metropolitan Transit District,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Santa Cruz Metropolitan Transit District,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Santa Cruz Metropolitan Transit District,Urban
VP,6,California Non0UZA,California,4357850,0,0,,San Mateo County Transit District,Urban
DR,6,California Non0UZA,California,4357850,0,0,,San Mateo County Transit District,Urban
MB,6,California Non0UZA,California,4357850,0,0,,San Mateo County Transit District,Urban
MB,6,California Non0UZA,California,4357850,0,0,,San Mateo County Transit District,Urban
VP,6,California Non0UZA,California,4357850,0,0,,San Joaquin Regional Transit District,Urban
DR,6,California Non0UZA,California,4357850,0,0,,San Joaquin Regional Transit District,Urban
MB,6,California Non0UZA,California,4357850,0,0,,San Joaquin Regional Transit District,Urban
MB,6,California Non0UZA,California,4357850,0,0,,San Joaquin Regional Transit District,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Santa Clara Valley Transportation Authority,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Santa Clara Valley Transportation Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Santa Clara Valley Transportation Authority,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Santa Clara Valley Transportation Authority,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Santa Barbara Metropolitan Transit District,Urban
DR,6,California Non0UZA,California,4357850,0,0,,San Diego Metropolitan Transit System,Urban
MB,6,California Non0UZA,California,4357850,0,0,,San Diego Metropolitan Transit System,Urban
MB,6,California Non0UZA,California,4357850,0,0,,San Diego Metropolitan Transit System,Urban
VP,6,California Non0UZA,California,4357850,0,0,,San Diego Metropolitan Transit System,Urban
MB,6,California Non0UZA,California,4357850,0,0,,San Diego Metropolitan Transit System,Urban
DR,6,California Non0UZA,California,4357850,0,0,,San Diego Metropolitan Transit System,Urban
MB,6,California Non0UZA,California,4357850,0,0,,North County Transit District,Urban
VP,6,California Non0UZA,California,4357850,0,0,,North County Transit District,Urban
FB,6,California Non0UZA,California,4357850,0,0,,North County Transit District,Urban
MB,6,California Non0UZA,California,4357850,0,0,,North County Transit District,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Riverside Transit Agency,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Riverside Transit Agency,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Riverside Transit Agency,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Riverside Transit Agency,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Orange County Transportation Authority,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Orange County Transportation Authority,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Orange County Transportation Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Orange County Transportation Authority,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Orange County Transportation Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Yuba0Sutter Transit Authority,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Yuba0Sutter Transit Authority,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Yuba0Sutter Transit Authority,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Monterey0Salinas Transit,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Monterey0Salinas Transit,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Monterey0Salinas Transit,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Monterey0Salinas Transit,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Monterey0Salinas Transit,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Central Contra Costa Transit Authority,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Central Contra Costa Transit Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Central Contra Costa Transit Authority,Urban
MB,6,California Non0UZA,California,4357850,0,0,,SunLine Transit Agency,Urban
MB,6,California Non0UZA,California,4357850,0,0,,SunLine Transit Agency,Urban
DR,6,California Non0UZA,California,4357850,0,0,,SunLine Transit Agency,Urban
DR,6,California Non0UZA,California,4357850,0,0,,City of Santa Maria,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of Santa Maria,Urban
FB,6,California Non0UZA,California,4357850,0,0,,Napa Valley Transportation Authority,Urban
FB,6,California Non0UZA,California,4357850,0,0,,Napa Valley Transportation Authority,Urban
FB,6,California Non0UZA,California,4357850,0,0,,Napa Valley Transportation Authority,Urban
MB,6,California Non0UZA,California,4357850,0,0,,County of Sonoma ,Urban
LR,6,California Non0UZA,California,4357850,0,0,,County of Sonoma ,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Yolo County Transportation District,Urban
CR,6,California Non0UZA,California,4357850,0,0,,Yolo County Transportation District,Urban
CB,6,California Non0UZA,California,4357850,0,0,,City of Visalia ,Urban
SR,6,California Non0UZA,California,4357850,0,0,,City of Visalia ,Urban
CB,6,California Non0UZA,California,4357850,0,0,,City of Visalia ,Urban
CB,6,California Non0UZA,California,4357850,0,0,,"City of Fairfield, California",Urban
CR,6,California Non0UZA,California,4357850,0,0,,"City of Fairfield, California",Urban
LR,6,California Non0UZA,California,4357850,0,0,,"City of Fairfield, California",Urban
SR,6,California Non0UZA,California,4357850,0,0,,Redding Area Bus Authority,Urban
AR,6,California Non0UZA,California,4357850,0,0,,Redding Area Bus Authority,Urban
AR,6,California Non0UZA,California,4357850,0,0,,Metropolitan Transportation Commission,Urban
AR,6,California Non0UZA,California,4357850,0,0,,San Diego Association of Governments,Urban
AR,6,California Non0UZA,California,4357850,0,0,,Antelope Valley Transit Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Antelope Valley Transit Authority,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Antelope Valley Transit Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Peninsula Corridor Joint Powers Board,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Foothill Transit,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Victor Valley Transit Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Victor Valley Transit Authority,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Victor Valley Transit Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Victor Valley Transit Authority,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of Lompoc,Urban
DR,6,California Non0UZA,California,4357850,0,0,,City of Lompoc,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Southern California Regional Rail Authority,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Los Angeles County Metropolitan Transportation Authority ,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Los Angeles County Metropolitan Transportation Authority ,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Los Angeles County Metropolitan Transportation Authority ,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Los Angeles County Metropolitan Transportation Authority ,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Los Angeles County Metropolitan Transportation Authority ,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Los Angeles County Metropolitan Transportation Authority ,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Los Angeles County Metropolitan Transportation Authority ,Urban
DR,6,California Non0UZA,California,4357850,0,0,,City of Vacaville,Urban
VP,6,California Non0UZA,California,4357850,0,0,,City of Vacaville,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of San Luis Obispo,Urban
DR,6,California Non0UZA,California,4357850,0,0,,The Eastern Contra Costa Transit Authority,Urban
MB,6,California Non0UZA,California,4357850,0,0,,The Eastern Contra Costa Transit Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,The Eastern Contra Costa Transit Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Ventura County Transportation Commission,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Ventura County Transportation Commission,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Ventura County Transportation Commission,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of Thousand Oaks,Urban
DR,6,California Non0UZA,California,4357850,0,0,,City of Thousand Oaks,Urban
VP,6,California Non0UZA,California,4357850,0,0,,City of Davis,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Transit Joint Powers Authority for Merced County,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Transit Joint Powers Authority for Merced County,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of Lodi,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of Lodi,Urban
MB,6,California Non0UZA,California,4357850,0,0,,County of Placer,Urban
DR,6,California Non0UZA,California,4357850,0,0,,County of Placer,Urban
MB,6,California Non0UZA,California,4357850,0,0,,County of Placer,Urban
DR,6,California Non0UZA,California,4357850,0,0,,County of Placer,Urban
VP,6,California Non0UZA,California,4357850,0,0,,County of Placer,Urban
MB,6,California Non0UZA,California,4357850,0,0,,County of Placer,Urban
DR,6,California Non0UZA,California,4357850,0,0,,City of Madera,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of Madera,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Kings County Area Public Transit Agency,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Kings County Area Public Transit Agency,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Kings County Area Public Transit Agency,Urban
DR,6,California Non0UZA,California,4357850,0,0,,San Luis Obispo Regional Transit Authority,Urban
CB,6,California Non0UZA,California,4357850,0,0,,San Luis Obispo Regional Transit Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Butte County Association of Governments,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Butte County Association of Governments,Urban
CB,6,California Non0UZA,California,4357850,0,0,,County of Sacramento Municipal Services Agency,Urban
DR,6,California Non0UZA,California,4357850,0,0,,County of Sacramento Municipal Services Agency,Urban
MB,6,California Non0UZA,California,4357850,0,0,,County of Sacramento Municipal Services Agency,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Riverside County Transportation Commission,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Imperial County Transportation Commission,Urban
SR,6,California Non0UZA,California,4357850,0,0,,Imperial County Transportation Commission,Urban
TR,6,California Non0UZA,California,4357850,0,0,,El Dorado County Transit Authority,Urban
MB,6,California Non0UZA,California,4357850,0,0,,El Dorado County Transit Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,El Dorado County Transit Authority,Urban
CB,6,California Non0UZA,California,4357850,0,0,,California Vanpool Authority,Urban
CB,6,California Non0UZA,California,4357850,0,0,,Solano County Transit,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Solano County Transit,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Solano County Transit,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Marin County Transit District,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Marin County Transit District,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of Delano,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of Delano,Urban
DR,6,California Non0UZA,California,4357850,0,0,,City of Agoura Hills,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of Avalon,Urban
DR,6,California Non0UZA,California,4357850,0,0,,City of Avalon,Urban
MB,6,California Non0UZA,California,4357850,0,0,,City of Pico Rivera,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Sonoma0Marin Area Rail Transit District,Urban
MB,6,California Non0UZA,California,4357850,0,0,,San Bernardino County Transportation Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Santa Barbara County Association of Governments,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Stanislaus Regional Transit Authority,Urban
VP,6,California Non0UZA,California,4357850,0,0,,Stanislaus Regional Transit Authority,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Stanislaus Regional Transit Authority,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Tulare County Regional Transit Agency,Urban
DR,6,California Non0UZA,California,4357850,0,0,,Tulare County Regional Transit Agency,Urban
CB,6,California Non0UZA,California,4357850,0,0,9R02,Amador Transit,Rural
CB,6,California Non0UZA,California,4357850,0,0,9R02,Amador Transit,Rural
DR,6,California Non0UZA,California,4357850,0,0,9R02,Amador Transit,Rural
MB,6,California Non0UZA,California,4357850,0,0,9R02,City of Corcoran,Rural
DR,6,California Non0UZA,California,4357850,0,0,,Madera County,Urban
MB,6,California Non0UZA,California,4357850,0,0,,Madera County,Urban
MB,6,California Non0UZA,California,4357850,0,0,9R02,City of Ridgecrest,Rural
MB,6,California Non0UZA,California,4357850,0,0,9R02,City of Ridgecrest,Rural
DR,6,California Non0UZA,California,4357850,0,0,9R02,Fresno County Rural Transit Agency,Rural
MB,6,California Non0UZA,California,4357850,0,0,9R02,Fresno County Rural Transit Agency,Rural
DR,6,California Non0UZA,California,4357850,0,0,9R02,Modoc Transportation Agency,Rural
CB,6,California Non0UZA,California,4357850,0,0,9R02,Modoc Transportation Agency,Rural
MB,6,California Non0UZA,California,4357850,0,0,9R02,San Benito County Local Transportation Authority,Rural
DR,6,California Non0UZA,California,4357850,0,0,9R02,San Benito County Local Transportation Authority,Rural
MB,6,California Non0UZA,California,4357850,0,0,9R02,San Benito County Local Transportation Authority,Rural
DR,6,California Non0UZA,California,4357850,0,0,9R02,Mountain Area Regional Transit Authority,Rural
DR,6,California Non0UZA,California,4357850,0,0,9R02,Mountain Area Regional Transit Authority,Rural
FB,6,California Non0UZA,California,4357850,0,0,9R02,Mountain Area Regional Transit Authority,Rural
MB,6,California Non0UZA,California,4357850,0,0,9R02,City of Rio Vista,Rural
VP,6,California Non0UZA,California,4357850,0,0,9R02,City of Rio Vista,Rural
DR,6,California Non0UZA,California,4357850,0,0,9R02,City of Arcata,Rural
DR,6,California Non0UZA,California,4357850,0,0,9R02,City of Needles,Rural
DR,6,California Non0UZA,California,4357850,0,0,9R02,City of Arvin,Rural
